33,1,1,1,9,2,1,8,3,2,1,2,2,2,9,2,7,2,2,2,2,9,5,3,8,3,3,7,3,3,3,4,1,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,7,6,6,6,3,6,5,6,8,6,6,7,7,7,7,7,7,7,7,7,7,8,2,8,3,1,8,8,8,8,8,9,9,9,7,9,9,9,9,9,9,10,3,10,10,10,4,9,10,5,10
34,1,1,5,1,1,1,1,1,3,1,2,6,2,2,2,2,2,2,2,2,3,3,8,3,3,3,3,3,5,3,4,4,4,4,4,4,4,4,9,4,5,9,5,1,5,5,5,5,5,5,6,6,6,3,3,6,4,6,6,6,7,7,7,7,7,7,1,8,2,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,7,9,9,4,9,1,10,10,10,10,10,10,10,10,10,10
35,3,1,1,1,1,1,1,1,1,1,2,2,2,7,2,2,2,2,2,7,3,3,3,9,3,5,4,4,3,3,4,4,4,4,3,4,4,4,4,3,5,5,5,5,6,5,5,3,5,5,6,6,6,6,6,6,6,6,6,9,9,7,7,7,7,7,2,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,4,2,9,9,9,10,10,10,10,10,10,10,10,10,10
36,8,3,1,1,1,1,1,1,6,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,7,3,3,9,4,4,4,4,4,4,4,4,6,5,5,5,5,5,5,5,8,5,8,4,5,6,6,6,6,6,6,6,6,7,7,1,7,7,3,7,7,7,7,8,8,8,4,8,8,8,8,8,8,9,5,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
37,1,1,1,1,1,1,1,1,1,1,8,2,8,2,1,2,2,2,2,2,7,3,2,3,3,3,3,3,3,5,4,4,4,8,4,4,6,4,4,4,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,3,8,8,8,8,1,2,8,8,8,8,9,9,9,9,9,9,9,9,9,9,8,10,10,10,2,10,5,10,10,10
38,1,1,6,6,1,9,1,1,1,1,2,2,2,2,2,2,2,6,2,9,7,3,1,3,3,3,3,6,3,3,4,4,4,4,4,4,5,2,4,4,5,5,5,5,5,5,8,1,5,5,6,6,6,6,6,6,6,6,6,6,9,7,4,7,4,7,7,7,7,7,6,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,3,4,9,10,10,10,6,2,10,10,3,10,10
39,1,1,9,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,7,4,4,4,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,2,8,8,8,8,8,8,8,8,4,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,8,10,10,10
40,1,5,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,2,2,2,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1,7,5,9,5,5,5,5,1,5,5,5,6,6,8,6,6,6,6,6,6,6,7,7,7,3,5,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,2,9,9,9,9,4,9,9,10,5,10,4,10,7,6,10,10,1
41,1,1,1,1,1,1,3,1,1,8,2,2,2,2,2,2,2,2,2,7,3,3,3,3,3,3,3,3,3,3,7,4,4,4,4,4,4,4,4,4,5,6,5,5,5,1,5,5,5,5,6,6,6,6,6,6,6,3,6,6,7,7,7,7,2,6,6,7,5,7,8,8,8,8,7,8,8,1,8,3,9,9,9,9,9,9,9,9,9,9,10,10,10,10,2,10,10,10,10,4
42,1,1,8,1,1,1,3,1,1,4,2,2,6,2,2,2,2,2,5,2,3,3,3,3,2,3,3,3,5,3,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,5,7,5,6,6,3,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,2,8,8,8,8,8,8,3,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,2,10,10,10,10,10,10
43,1,9,1,1,2,1,1,1,1,1,2,2,2,2,2,8,2,2,2,2,3,3,3,3,3,3,2,3,3,3,4,4,4,8,4,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,3,6,8,6,6,8,7,7,7,7,7,9,7,7,7,6,6,8,7,8,8,8,8,8,8,9,9,9,9,9,5,9,7,9,9,10,3,10,10,10,10,10,10,10,10
44,1,1,6,1,1,1,1,1,7,1,2,2,3,2,2,2,2,2,2,2,3,2,7,3,3,3,3,3,3,3,4,4,4,4,4,4,6,4,4,4,5,5,5,2,5,5,5,8,5,5,6,6,6,6,7,6,6,6,6,6,5,7,7,1,7,7,7,2,7,7,8,8,8,8,8,8,8,8,1,2,9,6,9,9,9,9,4,3,9,9,10,10,10,4,6,10,10,10,9,9
45,1,1,1,1,3,1,1,1,1,1,2,2,5,2,2,2,2,2,2,7,3,3,3,3,1,3,3,3,3,3,4,4,4,7,4,9,8,4,4,4,5,5,5,5,4,5,8,9,2,5,6,1,3,6,6,6,6,6,6,6,7,7,7,5,7,7,7,8,7,7,8,8,8,8,8,8,8,8,8,8,9,9,4,6,8,9,9,9,9,7,10,10,10,10,10,9,10,10,10,10
46,1,1,1,2,1,3,1,1,9,1,2,2,2,9,2,6,2,2,2,2,3,3,4,3,3,3,3,3,3,2,4,4,4,9,8,4,4,4,4,4,3,5,5,5,5,5,5,5,5,9,9,6,6,6,6,6,6,6,8,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,9,3,10,10,10
47,1,4,1,1,8,1,1,1,1,1,2,2,2,9,2,1,9,2,8,3,3,3,3,3,3,7,3,4,3,3,4,4,4,3,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,6,6,6,7,6,6,6,6,3,7,7,7,7,7,7,4,7,7,8,8,6,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,7,10,10,10,10,10,10,10,10,10,8
48,1,1,1,1,1,1,4,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,9,4,8,4,2,4,4,4,2,5,4,5,5,5,5,3,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,4,7,7,7,7,7,8,8,4,8,8,8,7,1,7,8,9,9,9,9,9,8,9,7,9,9,10,10,10,10,1,10,9,10,10,10
49,1,1,4,1,1,1,1,1,1,1,2,5,8,2,2,2,2,2,2,2,6,3,3,5,3,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,8,6,6,6,6,6,6,4,6,9,7,7,7,3,7,7,7,7,7,8,8,8,8,9,8,8,8,8,8,5,9,9,6,9,2,9,4,3,9,10,10,10,10,10,10,10,10,10,10
50,2,1,1,1,1,1,1,1,1,1,2,2,2,8,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,3,5,5,5,5,5,1,5,5,6,5,5,6,6,6,2,6,6,1,1,7,7,7,2,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,1,9,9,9,9,9,9,10,10,8,10,10,10,1,10,10,10
51,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,7,5,7,5,3,3,3,3,3,4,1,4,1,5,9,4,4,4,4,5,5,5,5,5,5,5,2,5,7,6,6,6,6,6,5,6,6,6,6,7,7,7,7,7,7,7,7,1,7,8,3,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,4
52,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,6,4,4,4,4,5,5,5,5,5,7,5,8,4,5,6,6,6,7,6,6,6,4,6,6,5,7,7,7,7,7,7,7,7,7,6,8,7,8,8,8,8,8,8,8,9,9,9,9,9,9,4,6,9,9,10,10,10,7,10,4,10,10,10,10
53,1,1,1,5,1,7,1,3,1,1,2,2,2,2,2,2,2,2,2,9,3,3,3,3,3,3,3,3,3,6,4,4,4,2,4,4,4,9,6,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,7,7,7,8,8,8,8,8,8,8,5,8,8,4,9,9,9,1,9,9,9,9,9,10,10,10,1,10,10,10,10,10,10
54,1,4,1,1,1,1,1,1,5,1,2,2,5,2,5,2,2,2,2,9,3,3,3,3,3,3,3,3,8,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,2,6,6,6,6,6,6,6,2,6,7,9,7,7,6,7,7,3,7,7,8,8,8,8,9,8,7,8,9,6,9,9,9,9,9,1,9,9,9,9,10,4,7,10,10,9,10,4,9,10
55,1,1,5,1,1,2,2,1,1,1,2,2,5,2,2,2,2,2,2,2,3,3,3,7,3,3,3,2,3,3,4,4,4,4,4,3,4,4,4,4,1,5,5,5,6,5,3,5,5,5,6,6,6,6,6,6,6,6,6,8,7,7,7,2,7,4,9,7,8,7,8,8,8,8,8,8,9,8,8,8,7,9,9,9,9,2,9,9,9,9,10,10,10,10,10,10,10,10,10,10
56,1,1,9,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,5,5,6,5,5,5,5,5,5,6,6,6,6,6,5,6,2,6,6,7,7,7,7,7,7,9,7,9,7,6,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
57,1,8,1,1,1,1,1,1,2,1,2,2,3,2,8,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,8,4,1,5,5,5,1,5,5,5,5,5,5,2,6,6,4,6,6,4,5,6,7,7,7,7,2,7,7,7,4,9,8,2,9,6,8,8,8,4,6,8,9,9,3,3,9,9,9,9,9,6,10,9,10,10,10,10,8,10,10,10
58,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,7,2,2,2,1,3,6,8,3,3,3,3,3,3,3,4,4,4,4,4,4,1,4,2,4,2,5,5,5,3,5,5,5,5,5,6,6,6,6,6,6,6,6,6,9,7,7,7,1,4,7,7,7,7,7,8,8,8,8,9,8,8,8,6,6,9,8,9,9,9,9,3,9,9,9,10,10,7,10,10,10,1,10,10,9
59,1,1,1,1,1,1,1,1,1,1,2,2,2,2,7,1,2,2,2,7,3,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,9,4,4,5,5,5,8,2,5,5,5,5,9,6,6,6,6,6,6,8,6,6,6,7,7,7,7,7,7,7,7,7,7,6,5,8,8,8,8,8,1,8,8,9,9,3,9,9,9,9,9,9,1,10,10,10,10,3,4,1,10,3,3
60,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,4,2,2,3,3,3,5,3,3,3,3,3,3,4,4,2,4,4,4,4,4,4,4,5,1,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,8,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,4,9,9,9,9,9,9,9,9,9,10,10,2,8,10,10,10,10,10,10
61,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,8,3,7,5,4,4,4,7,4,4,6,4,4,4,5,5,5,5,5,5,5,5,5,5,6,4,6,1,4,6,5,6,6,6,7,7,7,7,7,7,3,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,1,9,9,9,9,9,9,7,5,10,10,10,10,1,10,10,10
62,1,1,1,1,1,1,4,1,1,1,8,2,2,2,2,2,2,2,2,2,3,5,3,3,4,3,1,8,8,3,6,4,4,2,4,7,4,4,4,6,5,1,4,5,5,5,5,5,5,5,8,6,6,6,6,6,2,6,6,6,7,7,7,7,7,7,7,7,7,7,1,8,8,8,7,8,8,8,8,7,9,9,9,9,9,9,9,9,2,7,10,9,10,10,10,10,10,3,5,10
63,1,1,1,1,1,1,1,1,1,2,5,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,1,4,4,4,4,4,6,5,5,5,5,8,5,5,5,6,3,6,6,6,6,6,6,6,6,6,6,2,7,7,7,8,7,3,7,7,7,8,9,8,8,8,1,8,8,8,8,9,1,3,9,9,9,9,6,9,9,10,10,10,10,4,10,10,1,10,4
64,1,1,1,1,1,1,7,1,1,1,7,8,2,2,2,2,2,2,2,2,3,3,3,3,7,3,3,3,3,3,4,4,4,6,4,4,4,7,4,4,2,5,5,5,5,5,7,5,1,8,4,6,6,8,6,6,6,6,6,6,7,7,7,7,7,7,5,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,7,9,9,9,9,9,10,10,10,10,10,4,7,10,10,10
65,6,1,3,6,1,8,1,1,2,4,2,2,2,2,2,2,2,2,2,2,3,3,5,9,3,3,3,3,3,3,4,4,1,4,3,4,4,4,4,4,5,2,5,5,5,4,5,5,5,5,5,6,6,6,6,6,6,6,7,6,7,9,7,1,7,7,7,7,7,7,8,8,8,8,8,3,8,8,7,8,9,9,9,9,7,9,9,9,9,9,10,10,10,10,10,10,1,2,10,10
66,1,1,1,1,1,1,1,1,1,1,2,2,2,2,8,2,2,2,9,9,3,3,3,3,3,5,3,3,3,5,6,4,4,4,2,4,4,4,4,4,5,5,5,5,3,5,5,9,4,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,7,9,8,8,8,8,8,8,8,8,9,6,9,8,9,9,9,9,9,9,9,10,10,10,7,10,10,2,10,10,10
